month,loan_id,product,region,branch,disbursed_amount,outstanding_amount,dpd,due_date,payment_date,is_paid,customer_segment,charge_off_flag
2024-12-01,L00009,Personal Loan,Central,B002,303911,291667,0,2024-12-20,2024-12-01,1,Prime,0
2025-01-01,L00009,Personal Loan,Central,B002,303911,288364,0,2025-01-17,2025-01-28,0,Prime,0
2025-02-01,L00009,Personal Loan,Central,B002,303911,283008,0,2025-02-26,2025-02-25,1,Prime,0
2025-03-01,L00009,Personal Loan,Central,B002,303911,283008,0,2025-03-25,,0,Prime,0
2025-04-01,L00009,Personal Loan,Central,B002,303911,279460,0,2025-04-25,2025-04-28,0,Prime,0
2025-05-01,L00009,Personal Loan,Central,B002,303911,271901,0,2025-05-09,2025-05-23,0,Prime,0
2025-06-01,L00009,Personal Loan,Central,B002,303911,271901,30,2025-06-17,,0,Prime,0
2025-07-01,L00009,Personal Loan,Central,B002,303911,271901,30,2025-07-21,,0,Prime,0
2025-08-01,L00009,Personal Loan,Central,B002,303911,265304,0,2025-08-04,2025-08-21,0,Prime,0
2025-09-01,L00009,Personal Loan,Central,B002,303911,256237,0,2025-09-19,2025-09-09,1,Prime,0
2025-10-01,L00009,Personal Loan,Central,B002,303911,256237,0,2025-10-18,,0,Prime,0
2024-11-01,L00010,Home Loan,Central,B015,156883,156883,0,2024-11-12,,0,Standard,0
2024-12-01,L00010,Home Loan,Central,B015,156883,152858,0,2024-12-04,2024-12-15,0,Standard,0
2025-01-01,L00010,Home Loan,Central,B015,156883,148777,0,2025-01-17,2025-01-11,1,Standard,0
2025-02-01,L00010,Home Loan,Central,B015,156883,147192,0,2025-02-02,2025-02-21,0,Standard,0
2025-03-01,L00010,Home Loan,Central,B015,156883,144798,0,2025-03-20,2025-03-03,1,Standard,0
2025-04-01,L00010,Home Loan,Central,B015,156883,141303,0,2025-04-24,2025-04-13,1,Standard,0
2025-05-01,L00010,Home Loan,Central,B015,156883,137161,0,2025-05-20,2025-05-25,0,Standard,0
2025-06-01,L00010,Home Loan,Central,B015,156883,137161,0,2025-06-07,,0,Standard,0
2025-07-01,L00010,Home Loan,Central,B015,156883,133401,0,2025-07-26,2025-07-17,1,Standard,0
2025-08-01,L00010,Home Loan,Central,B015,156883,128771,0,2025-08-12,2025-08-01,1,Standard,0
2025-09-01,L00010,Home Loan,Central,B015,156883,125931,0,2025-09-13,2025-09-13,1,Standard,0
2025-10-01,L00010,Home Loan,Central,B015,156883,122638,0,2025-10-23,2025-10-03,1,Standard,0
2024-11-01,L00011,Personal Loan,North,B011,202680,196750,0,2024-11-27,2024-11-20,1,Standard,0
2024-12-01,L00011,Personal Loan,North,B011,202680,192672,0,2024-12-01,2024-12-14,0,Standard,0
2025-01-01,L00011,Personal Loan,North,B011,202680,192672,0,2025-01-11,,0,Standard,0
2025-02-01,L00011,Personal Loan,North,B011,202680,192672,0,2025-02-27,,0,Standard,0
2025-03-01,L00011,Personal Loan,North,B011,202680,192672,0,2025-03-16,,0,Standard,0
2025-04-01,L00011,Personal Loan,North,B011,202680,192672,0,2025-04-15,,0,Standard,0
2025-05-01,L00011,Personal Loan,North,B011,202680,187902,0,2025-05-13,2025-05-08,1,Standard,0
2025-06-01,L00011,Personal Loan,North,B011,202680,183035,0,2025-06-12,2025-06-01,1,Standard,0
2025-07-01,L00011,Personal Loan,North,B011,202680,179622,0,2025-07-13,2025-07-27,0,Standard,0
2025-08-01,L00011,Personal Loan,North,B011,202680,176505,0,2025-08-11,2025-08-19,0,Standard,0
2025-09-01,L00011,Personal Loan,North,B011,202680,173527,0,2025-09-07,2025-09-07,1,Standard,0
2025-10-01,L00011,Personal Loan,North,B011,202680,168111,0,2025-10-08,2025-10-08,1,Standard,0
2024-11-01,L00012,Education Loan,South,B014,236609,230627,0,2024-11-22,2024-11-01,1,Prime,0
2024-12-01,L00012,Education Loan,South,B014,236609,225932,0,2024-12-16,2024-12-11,1,Prime,0
2025-01-01,L00012,Education Loan,South,B014,236609,218908,0,2025-01-28,2025-01-06,1,Prime,0
2025-02-01,L00012,Education Loan,South,B014,236609,218908,0,2025-02-08,,0,Prime,0
2025-03-01,L00012,Education Loan,South,B014,236609,214679,0,2025-03-18,2025-03-12,1,Prime,0
2025-04-01,L00012,Education Loan,South,B014,236609,210820,0,2025-04-04,2025-04-15,0,Prime,0
2025-05-01,L00012,Education Loan,South,B014,236609,210820,30,2025-05-22,,0,Prime,0
2025-06-01,L00012,Education Loan,South,B014,236609,210820,0,2025-06-20,,0,Prime,0
2025-07-01,L00012,Education Loan,South,B014,236609,206094,0,2025-07-20,2025-07-06,1,Prime,0
2025-08-01,L00012,Education Loan,South,B014,236609,202405,0,2025-08-12,2025-08-13,0,Prime,0
2025-09-01,L00012,Education Loan,South,B014,236609,199567,0,2025-09-19,2025-09-27,0,Prime,0
2025-10-01,L00012,Education Loan,South,B014,236609,199567,0,2025-10-14,,0,Prime,0
2024-11-01,L00013,Home Loan,East,B003,289251,282711,0,2024-11-14,2024-11-28,0,Prime,0
2024-12-01,L00013,Home Loan,East,B003,289251,274853,0,2024-12-16,2024-12-18,0,Prime,0
2025-01-01,L00013,Home Loan,East,B003,289251,270490,0,2025-01-06,2025-01-27,0,Prime,0
2025-02-01,L00013,Home Loan,East,B003,289251,265514,0,2025-02-24,2025-02-12,1,Prime,0
2025-03-01,L00013,Home Loan,East,B003,289251,260591,0,2025-03-12,2025-03-04,1,Prime,0
2025-04-01,L00013,Home Loan,East,B003,289251,254584,0,2025-04-19,2025-04-21,0,Prime,0
2025-05-01,L00013,Home Loan,East,B003,289251,247210,0,2025-05-11,2025-05-16,0,Prime,0
2025-06-01,L00013,Home Loan,East,B003,289251,238784,0,2025-06-20,2025-06-21,0,Prime,0
2025-07-01,L00013,Home Loan,East,B003,289251,232585,0,2025-07-11,2025-07-20,0,Prime,0
2025-08-01,L00013,Home Loan,East,B003,289251,227860,0,2025-08-06,2025-08-11,0,Prime,0
2025-09-01,L00013,Home Loan,East,B003,289251,220450,0,2025-09-21,2025-09-15,1,Prime,0
2025-10-01,L00013,Home Loan,East,B003,289251,220450,0,2025-10-17,,0,Prime,0
2024-11-01,L00014,Personal Loan,North,B010,76088,75007,0,2024-11-24,2024-11-03,1,Standard,0
2024-12-01,L00014,Personal Loan,North,B010,76088,73073,0,2024-12-16,2024-12-01,1,Standard,0
2025-01-01,L00014,Personal Loan,North,B010,76088,72184,0,2025-01-04,2025-01-05,0,Standard,0
2025-02-01,L00014,Personal Loan,North,B010,76088,70749,0,2025-02-08,2025-02-10,0,Standard,0
2025-03-01,L00014,Personal Loan,North,B010,76088,69446,0,2025-03-06,2025-03-22,0,Standard,0
2025-04-01,L00014,Personal Loan,North,B010,76088,69446,0,2025-04-15,,0,Standard,0
2025-05-01,L00014,Personal Loan,North,B010,76088,67776,0,2025-05-23,2025-05-19,1,Standard,0
2025-06-01,L00014,Personal Loan,North,B010,76088,66042,0,2025-06-19,2025-06-21,0,Standard,0
2025-07-01,L00014,Personal Loan,North,B010,76088,64609,0,2025-07-18,2025-07-03,1,Standard,0
2025-08-01,L00014,Personal Loan,North,B010,76088,62608,0,2025-08-10,2025-08-17,0,Standard,0
2025-09-01,L00014,Personal Loan,North,B010,76088,60444,0,2025-09-16,2025-09-23,0,Standard,0
2025-10-01,L00014,Personal Loan,North,B010,76088,60444,0,2025-10-01,,0,Standard,0
2024-11-01,L00015,Auto Loan,West,B007,40179,39647,0,2024-11-18,2024-11-08,1,Subprime,0
2024-12-01,L00015,Auto Loan,West,B007,40179,38906,0,2024-12-13,2024-12-03,1,Subprime,0
2025-01-01,L00015,Auto Loan,West,B007,40179,38906,0,2025-01-20,,0,Subprime,0
2025-02-01,L00015,Auto Loan,West,B007,40179,37819,0,2025-02-26,2025-02-07,1,Subprime,0
2025-03-01,L00015,Auto Loan,West,B007,40179,37199,0,2025-03-21,2025-03-15,1,Subprime,0
2025-04-01,L00015,Auto Loan,West,B007,40179,36780,0,2025-04-01,2025-04-18,0,Subprime,0
2025-05-01,L00015,Auto Loan,West,B007,40179,36372,0,2025-05-05,2025-05-24,0,Subprime,0
2025-06-01,L00015,Auto Loan,West,B007,40179,35339,0,2025-06-07,2025-06-10,0,Subprime,0
2025-07-01,L00015,Auto Loan,West,B007,40179,35339,0,2025-07-23,,0,Subprime,0
2025-08-01,L00015,Auto Loan,West,B007,40179,34880,0,2025-08-02,2025-08-13,0,Subprime,0
2025-09-01,L00015,Auto Loan,West,B007,40179,33813,0,2025-09-27,2025-09-13,1,Subprime,0
2025-10-01,L00015,Auto Loan,West,B007,40179,33213,0,2025-10-08,2025-10-15,0,Subprime,0
2024-11-01,L00016,Personal Loan,Central,B004,50833,50833,0,2024-11-22,,0,Standard,0
2024-12-01,L00016,Personal Loan,Central,B004,50833,50282,0,2024-12-11,2024-12-24,0,Standard,0
2025-01-01,L00016,Personal Loan,Central,B004,50833,49572,0,2025-01-09,2025-01-10,0,Standard,0
2025-02-01,L00016,Personal Loan,Central,B004,50833,49572,0,2025-02-07,,0,Standard,0
2025-03-01,L00016,Personal Loan,Central,B004,50833,48662,0,2025-03-26,2025-03-04,1,Standard,0
2025-04-01,L00016,Personal Loan,Central,B004,50833,48662,0,2025-04-19,,0,Standard,0
2025-05-01,L00016,Personal Loan,Central,B004,50833,48061,0,2025-05-03,2025-05-16,0,Standard,0
2025-06-01,L00016,Personal Loan,Central,B004,50833,47192,0,2025-06-25,2025-06-02,1,Standard,0
2025-07-01,L00016,Personal Loan,Central,B004,50833,46362,0,2025-07-04,2025-07-08,0,Standard,0
2025-08-01,L00016,Personal Loan,Central,B004,50833,46362,0,2025-08-12,,0,Standard,0
2025-09-01,L00016,Personal Loan,Central,B004,50833,44941,0,2025-09-12,2025-09-09,1,Standard,0
2025-10-01,L00016,Personal Loan,Central,B004,50833,44240,0,2025-10-10,2025-10-16,0,Standard,0
2024-11-01,L00017,Gold Loan,South,B014,365825,358110,0,2024-11-27,2024-11-28,0,Standard,0
2024-12-01,L00017,Gold Loan,South,B014,365825,358110,0,2024-12-10,,0,Standard,0
2025-01-01,L00017,Gold Loan,South,B014,365825,347992,0,2025-01-17,2025-01-06,1,Standard,0
2025-02-01,L00017,Gold Loan,South,B014,365825,343871,0,2025-02-20,2025-02-24,0,Standard,0
2025-03-01,L00017,Gold Loan,South,B014,365825,334611,0,2025-03-07,2025-03-16,0,Standard,0
2025-04-01,L00017,Gold Loan,South,B014,365825,330249,0,2025-04-14,2025-04-04,1,Standard,0
2025-05-01,L00017,Gold Loan,South,B014,365825,325113,0,2025-05-05,2025-05-02,1,Standard,0
2025-06-01,L00017,Gold Loan,South,B014,365825,316642,0,2025-06-19,2025-06-13,1,Standard,0
2025-07-01,L00017,Gold Loan,South,B014,365825,308551,0,2025-07-09,2025-07-08,1,Standard,0
2025-08-01,L00017,Gold Loan,South,B014,365825,304308,0,2025-08-07,2025-08-27,0,Standard,0
2025-09-01,L00017,Gold Loan,South,B014,365825,294636,0,2025-09-18,2025-09-14,1,Standard,0
2025-10-01,L00017,Gold Loan,South,B014,365825,285606,0,2025-10-20,2025-10-02,1,Standard,0
2024-11-01,L00018,Home Loan,North,B004,225064,221079,0,2024-11-04,2024-11-18,0,Subprime,0
2024-12-01,L00018,Home Loan,North,B004,225064,216315,0,2024-12-19,2024-12-06,1,Subprime,0
2025-01-01,L00018,Home Loan,North,B004,225064,211029,0,2025-01-25,2025-01-12,1,Subprime,0
2025-02-01,L00018,Home Loan,North,B004,225064,206303,0,2025-02-04,2025-02-06,0,Subprime,0
2025-03-01,L00018,Home Loan,North,B004,225064,206303,0,2025-03-18,,0,Subprime,0
2025-04-01,L00018,Home Loan,North,B004,225064,206303,0,2025-04-11,,0,Subprime,0
2025-05-01,L00018,Home Loan,North,B004,225064,201597,0,2025-05-11,2025-05-19,0,Subprime,0
2025-06-01,L00018,Home Loan,North,B004,225064,197333,0,2025-06-24,2025-06-15,1,Subprime,0
2025-07-01,L00018,Home Loan,North,B004,225064,194475,0,2025-07-10,2025-07-17,0,Subprime,0
2025-08-01,L00018,Home Loan,North,B004,225064,192127,0,2025-08-08,2025-08-11,0,Subprime,0
2025-09-01,L00018,Home Loan,North,B004,225064,192127,0,2025-09-09,,0,Subprime,0
2025-10-01,L00018,Home Loan,North,B004,225064,189174,0,2025-10-04,2025-10-12,0,Subprime,0
2024-11-01,L00019,Home Loan,West,B007,30498,29846,0,2024-11-10,2024-11-13,0,Prime,0
2024-12-01,L00019,Home Loan,West,B007,30498,29846,0,2024-12-11,,0,Prime,0
2025-01-01,L00019,Home Loan,West,B007,30498,29846,0,2025-01-19,,0,Prime,0
2025-02-01,L00019,Home Loan,West,B007,30498,29066,0,2025-02-26,2025-02-03,1,Prime,0
2025-03-01,L00019,Home Loan,West,B007,30498,28688,0,2025-03-27,2025-03-28,0,Prime,0
2025-04-01,L00019,Home Loan,West,B007,30498,27997,0,2025-04-28,2025-04-01,1,Prime,0
2025-05-01,L00019,Home Loan,West,B007,30498,27348,0,2025-05-17,2025-05-18,0,Prime,0
2025-06-01,L00019,Home Loan,West,B007,30498,26435,0,2025-06-05,2025-06-24,0,Prime,0
2025-07-01,L00019,Home Loan,West,B007,30498,25867,0,2025-07-19,2025-07-08,1,Prime,0
2025-08-01,L00019,Home Loan,West,B007,30498,25108,0,2025-08-11,2025-08-19,0,Prime,0
2025-09-01,L00019,Home Loan,West,B007,30498,24378,0,2025-09-13,2025-09-25,0,Prime,0
2025-10-01,L00019,Home Loan,West,B007,30498,23725,0,2025-10-07,2025-10-21,0,Prime,0
2024-11-01,L00020,Auto Loan,Central,B009,345877,345877,0,2024-11-09,,0,Standard,0
2024-12-01,L00020,Auto Loan,Central,B009,345877,340009,0,2024-12-22,2024-12-12,1,Standard,0
2025-01-01,L00020,Auto Loan,Central,B009,345877,340009,0,2025-01-01,,0,Standard,0
2025-02-01,L00020,Auto Loan,Central,B009,345877,333504,0,2025-02-26,2025-02-05,1,Standard,0
2025-03-01,L00020,Auto Loan,Central,B009,345877,325006,0,2025-03-22,2025-03-25,0,Standard,0
2025-04-01,L00020,Auto Loan,Central,B009,345877,325006,0,2025-04-08,,0,Standard,0
2025-05-01,L00020,Auto Loan,Central,B009,345877,320778,0,2025-05-01,2025-05-26,0,Standard,0
2025-06-01,L00020,Auto Loan,Central,B009,345877,315910,0,2025-06-07,2025-06-07,1,Standard,0
2025-07-01,L00020,Auto Loan,Central,B009,345877,307644,0,2025-07-16,2025-07-05,1,Standard,0
2025-08-01,L00020,Auto Loan,Central,B009,345877,303008,0,2025-08-22,2025-08-09,1,Standard,0
2025-09-01,L00020,Auto Loan,Central,B009,345877,295020,0,2025-09-20,2025-09-15,1,Standard,0
2025-10-01,L00020,Auto Loan,Central,B009,345877,295020,30,2025-10-13,,0,Standard,0
2024-11-01,L00021,Home Loan,Central,B007,132064,132064,0,2024-11-10,,0,Prime,0
2024-12-01,L00021,Home Loan,Central,B007,132064,129464,0,2024-12-23,2024-12-11,1,Prime,0
2025-01-01,L00021,Home Loan,Central,B007,132064,126663,0,2025-01-07,2025-01-15,0,Prime,0
2025-02-01,L00021,Home Loan,Central,B007,132064,124304,0,2025-02-17,2025-02-16,1,Prime,0
2025-03-01,L00021,Home Loan,Central,B007,132064,122360,0,2025-03-12,2025-03-10,1,Prime,0
2025-04-01,L00021,Home Loan,Central,B007,132064,118719,0,2025-04-26,2025-04-09,1,Prime,0
2025-05-01,L00021,Home Loan,Central,B007,132064,118719,0,2025-05-01,,0,Prime,0
2025-06-01,L00021,Home Loan,Central,B007,132064,115471,0,2025-06-13,2025-06-03,1,Prime,0
2025-07-01,L00021,Home Loan,Central,B007,132064,113049,0,2025-07-28,2025-07-08,1,Prime,0
2025-08-01,L00021,Home Loan,Central,B007,132064,113049,0,2025-08-10,,0,Prime,0
2025-09-01,L00021,Home Loan,Central,B007,132064,109616,0,2025-09-05,2025-09-22,0,Prime,0
2025-10-01,L00021,Home Loan,Central,B007,132064,109616,0,2025-10-23,,0,Prime,0
2024-11-01,L00022,Education Loan,Central,B008,81317,81317,0,2024-11-19,,0,Standard,0
2024-12-01,L00022,Education Loan,Central,B008,81317,79074,0,2024-12-04,2024-12-27,0,Standard,0
2025-01-01,L00022,Education Loan,Central,B008,81317,79074,0,2025-01-14,,0,Standard,0
2025-02-01,L00022,Education Loan,Central,B008,81317,79074,0,2025-02-21,,0,Standard,0
2025-03-01,L00022,Education Loan,Central,B008,81317,77258,0,2025-03-06,2025-03-20,0,Standard,0
2025-04-01,L00022,Education Loan,Central,B008,81317,76403,0,2025-04-20,2025-04-22,0,Standard,0
2025-05-01,L00022,Education Loan,Central,B008,81317,74828,0,2025-05-05,2025-05-20,0,Standard,0
2025-06-01,L00022,Education Loan,Central,B008,81317,73749,0,2025-06-13,2025-06-05,1,Standard,0
2025-07-01,L00022,Education Loan,Central,B008,81317,73749,0,2025-07-01,,0,Standard,0
2025-08-01,L00022,Education Loan,Central,B008,81317,73373,0,2025-08-07,,0,Standard,0
2025-09-01,L00022,Education Loan,Central,B008,81317,71816,0,2025-09-16,2025-09-28,0,Standard,0
2025-10-01,L00022,Education Loan,Central,B008,81317,70385,0,2025-10-02,2025-10-27,0,Standard,0
2024-11-01,L00023,Gold Loan,South,B011,1067842,1040358,0,2024-11-17,2024-11-23,0,Standard,0
2024-12-01,L00023,Gold Loan,South,B011,1067842,1040358,0,2024-12-27,,0,Standard,0
2025-01-01,L00023,Gold Loan,South,B011,1067842,1018657,0,2025-01-24,2025-01-13,1,Standard,0
2025-02-01,L00023,Gold Loan,South,B011,1067842,991456,0,2025-02-10,2025-02-10,1,Standard,0
2025-03-01,L00023,Gold Loan,South,B011,1067842,966043,0,2025-03-10,2025-03-02,1,Standard,0
2025-04-01,L00023,Gold Loan,South,B011,1067842,944673,0,2025-04-21,2025-04-24,0,Standard,0
